file,model,form,target_kind,target,form_secondary,kind_secondary,purpose
system-models/agent_orch.py,agent_orch,STATE_MACHINE,AGENT_META,agent/factory,CONSTRAINT_SET,,Typed Layer-3 SSOT for the composed agent-orchestration state-machine model.
system-models/agent_substrate_layering.py,agent_substrate_layering,CONSTRAINT_SET,AGENT_META,agent/factory,,,Typed layer-boundary contracts for the agent-substrate.
system-models/anomaly_detectors.py,anomaly_detectors,REGISTRY,PRODUCT,product,,,The anomaly-detector registry — the canned analysis per ``AnomalyKind`` (Phase-4 impl).
system-models/audio_render_rss_sizing_model.py,audio_render_rss_sizing_model,BUDGET,PRODUCT,product,,,``audio_render_rss_sizing_model`` — the peak-RSS prediction that sizes ``audio-render-service``.
system-models/batch_execution_model.py,batch_execution_model,BUDGET,PRODUCT,product,,,Layer-3 model for GenAI batch-execution cost/latency — ``batch_size`` as a tunable term.
system-models/boundary_kinds.py,boundary_kinds,REGISTRY,AGENT_META,agent/factory,,,Boundary-kind classification helpers for Component path resolution.
system-models/c4_container.py,c4_container,TOPOLOGY,PRODUCT,product,,,"C4 Context + Container view — a DERIVED, customer-facing system-at-a-glance projection."
system-models/calibration_cell.py,calibration_cell,SCHEMA,PRODUCT,product,,,Shared calibration-cell provenance carrier for the cost-function model family.
system-models/canonical_read_surfaces.py,canonical_read_surfaces,REGISTRY,PRODUCT,product,,,Canonical access surfaces — READ-side meta-file sibling to state_mutator_registry.
system-models/census_collection_exempt.py,census_collection_exempt,REGISTRY,AGENT_META,agent/factory,,,Registry: test-shaped files pytest legitimately does NOT collect (census EXEMPT).
system-models/chunkless_concurrency_sizing_model.py,chunkless_concurrency_sizing_model,BUDGET,PRODUCT,product,,,``chunkless_concurrency_sizing_model`` — the dial-stack sizing SoT for the chunkless baton.
system-models/chunkless_critical_path_model.py,chunkless_critical_path_model,BUDGET,PRODUCT,product,,,Layer-4 model: the CALL-LEVEL critical-path / expected-cost function over the
system-models/chunkless_distribution_model.py,chunkless_distribution_model,DATAFLOW,PRODUCT,product,,,"Layer-3 system-model: the CHUNKLESS-DISTRIBUTION paradigm — its entities, its"
system-models/chunkless_time_complexity_model.py,chunkless_time_complexity_model,BUDGET,PRODUCT,product,,,``chunkless_time_complexity_model`` — the round-multiplication TIME envelope of one chunkless job.
system-models/claude_md_rules.py,claude_md_rules,REGISTRY,AGENT_META,agent/factory,,,"Registry of CLAUDE.md numbered-rule metadata, extracted from inline ``<!-- rule-meta: -->`` blocks."
system-models/cli_output_contracts.py,cli_output_contracts,SCHEMA,PRODUCT,product,,,Per-subcommand expected-JSON-output contracts for the external-CLI seams.
system-models/cli_parity.py,cli_parity,CONSTRAINT_SET,PRODUCT,product,,,INV-CLI-PARITY — the pure-Python deployment invariant (Layer 3 meta-file).
system-models/cloud_cost_allocation.py,cloud_cost_allocation,BUDGET,PRODUCT,product,,AGENT_META,Layer-3 SSOT for the settled-day per-job CLOUD-cost ALLOCATION (Epic
system-models/cloud_service_provider.py,cloud_service_provider,CONSTRAINT_SET,ENVIRONMENT,execution-environment,,,Typed SSOT for CLOUD-PROVIDER CONSTRAINT FACTS — the limits we do NOT control.
system-models/code_categories.py,code_categories,REGISTRY,AGENT_META,agent/factory,,,Per-category (leaf / group / meta / unknown) code classification.
