path,MODEL_KIND,MODEL_FORM,purpose,primary_consumers,loaded_by_repo_query
system-models/agent_orch.py,AGENT_META,STATE_MACHINE (+CONSTRAINT_SET),Typed Layer-3 SSOT for the composed agent-orchestration state-machine model.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/agent_substrate_layering.py,AGENT_META,CONSTRAINT_SET,Typed layer-boundary contracts for the agent-substrate.,tools/lint/lint-agent-substrate-layering.py; tools/agents/test_lander_cut_m2.py; system-models/test__agent_substrate_layering_doc_derived.py,yes
system-models/anomaly_detectors.py,PRODUCT,REGISTRY,The anomaly-detector registry — the canned analysis per ``AnomalyKind`` (Phase-4 impl).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/audio_render_rss_sizing_model.py,PRODUCT,BUDGET,``audio_render_rss_sizing_model`` — the peak-RSS prediction that sizes ``audio-render-service``.,tools/lint/lint-invariant-verification-tier.py; tools/lint/lint-model-declares-scaling-metric.py; tools/lint/test_lint_invariant_verification_tier.py,yes
system-models/batch_execution_model.py,PRODUCT,BUDGET,Layer-3 model for GenAI batch-execution cost/latency — ``batch_size`` as a tunable term.,system-models/remediation_cost_budget.py,yes
system-models/boundary_kinds.py,AGENT_META,REGISTRY,Boundary-kind classification helpers for Component path resolution.,tools/lint/_layer_router.py; tools/lint/lint-boundary-kind-classified.py; tools/lint/lint-primitives-density-ts.py,yes
system-models/c4_container.py,PRODUCT,TOPOLOGY,"C4 Context + Container view — a DERIVED, customer-facing system-at-a-glance projection.",system-models/diagram_model.py,yes
system-models/calibration_cell.py,PRODUCT,SCHEMA,Shared calibration-cell provenance carrier for the cost-function model family.,tools/lint/lint-model-declares-scaling-metric.py; system-models/audio_render_rss_sizing_model.py; system-models/batch_execution_model.py,yes
system-models/canonical_read_surfaces.py,PRODUCT,REGISTRY,Canonical access surfaces — READ-side meta-file sibling to state_mutator_registry.,tools/lint/lint-canonical-read-surfaces-integrity.py; tools/lint/lint-meta-file-cross-refs-with-tiers-blocking.py; tools/lint/lint-redis-mediation.py,yes
system-models/census_collection_exempt.py,AGENT_META,REGISTRY,Registry: test-shaped files pytest legitimately does NOT collect (census EXEMPT).,tools/lint/lint-test-collection-census.py,yes
system-models/chunkless_concurrency_sizing_model.py,PRODUCT,BUDGET,``chunkless_concurrency_sizing_model`` — the dial-stack sizing SoT for the chunkless baton.,tools/lint/lint-invariant-verification-tier.py; tools/lint/lint-model-declares-scaling-metric.py; tools/lint/test_lint_invariant_verification_tier.py,yes
system-models/chunkless_critical_path_model.py,PRODUCT,BUDGET,Layer-4 model: the CALL-LEVEL critical-path / expected-cost function over the remediation IR-dependency graph,tools/lint/lint-invariant-verification-tier.py; tools/lint/lint-model-declares-scaling-metric.py; tools/lint/test_lint_invariant_verification_tier.py,yes
system-models/chunkless_distribution_model.py,PRODUCT,DATAFLOW,Layer-3 system-model: the CHUNKLESS-DISTRIBUTION paradigm,tools/lint/lint-invariant-verification-tier.py; system-models/test_chunkless_distribution_model.py; system-models/test_edit_application_ordering_model.py,yes
system-models/chunkless_time_complexity_model.py,PRODUCT,BUDGET,``chunkless_time_complexity_model`` — the round-multiplication TIME envelope of one chunkless job.,system-models/test_chunkless_time_complexity_model.py,yes
system-models/claude_md_rules.py,AGENT_META,REGISTRY,"Registry of CLAUDE.md numbered-rule metadata, extracted from inline ``<!-- rule-meta: -->`` blocks.",tools/lint/lint-claude-md-rule-meta-conformance.py; tools/lint/lint-claude-md-rule-meta-coverage.py; tools/agents/test_cron_alerts_bulk_ack.py,yes
system-models/cli_output_contracts.py,PRODUCT,SCHEMA,Per-subcommand expected-JSON-output contracts for the external-CLI seams.,web/a11yvalidate/test_render_canvas_dims.py; web/test_fuzz_external_cli_parse.py; system-models/test_cli_output_contracts.py,yes
system-models/cli_parity.py,PRODUCT,CONSTRAINT_SET,INV-CLI-PARITY — the pure-Python deployment invariant (Layer 3 meta-file).,system-models/components.py,yes
system-models/cloud_cost_allocation.py,PRODUCT,BUDGET,"Layer-3 SSOT for the settled-day per-job CLOUD-cost ALLOCATION (Epic gcp-cost-wave4b-real-data-confirm-260706, Phase 3",tools/lint/lint-invariant-verification-tier.py,yes
system-models/cloud_service_provider.py,ENVIRONMENT,CONSTRAINT_SET,Typed SSOT for CLOUD-PROVIDER CONSTRAINT FACTS — the limits we do NOT control.,system-models/test_cloud_service_provider.py,yes
system-models/code_categories.py,AGENT_META,REGISTRY,Per-category (leaf / group / meta / unknown) code classification.,tools/lint/lint-all.py; tools/dev/coverage-per-module.py; tools/lint/test_lint_all_per_category.py,yes
system-models/cold_start_attribution.py,PRODUCT,REGISTRY,Shared QUALITATIVE cold-start attribution model — one level beneath ``cold_ms``.,tools/perf/coldstart_critical_path.py,yes
system-models/cold_start_distributions.py,PRODUCT,SCHEMA,Typed reader/writer for the measured cold-start distribution SINK (the history).,tools/perf/coldstart_critical_path.py,yes
system-models/complexity_assurance.py,AGENT_META,REGISTRY,Per-format complexity-assurance registry — the typed CLAIMS surface (G2/NS2).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/components.py,PRODUCT,TOPOLOGY,Canonical system-component catalogue for ADAtool.,tools/lint/_component_file_scoping.py; tools/lint/_component_tags_parser.py; tools/lint/_layer_router.py,yes
system-models/control_family.py,AGENT_META,REGISTRY,Typed ``ControlFamily`` meta-registry — the code→control anchor sources.,system-models/missing_control_metric.py,yes
system-models/cost_model.py,PRODUCT,REGISTRY,Cost-model vocabulary: algorithmic complexity vs concrete constants.,tools/lint/lint-complexity-assurance-completeness.py; tools/lint/lint-model-declares-scaling-metric.py; tools/chunkless/derive_growth_confirmation.py,yes
system-models/coverage_ref.py,AGENT_META,SCHEMA,DDT++ enabler — map test coverage onto the state-machine model's nodes.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/cron_entries.py,AGENT_META,REGISTRY,Source-of-truth registry for periodic GC cron entries (NOT the per-minute merge-train).,system-models/test__cron_entries_doc_derived.py,yes
system-models/csharp_product_invariants.py,PRODUCT,CONSTRAINT_SET,C#-product-invariant UMBRELLA MODEL — a PROJECTION of the C# registry SoT.,tools/lint/lint-invariant-verification-tier.py; system-models/test_trace_query.py,yes
system-models/data_flow.py,PRODUCT,DATAFLOW,Compliance-grade data-flow model (DFD) — the typed sink + edge registry.,system-models/c4_container.py,yes
system-models/deploy_promote_lifecycle.py,AGENT_META,STATE_MACHINE (+CONSTRAINT_SET),Typed Layer-3 model of the Cloud Run fleet-promote lifecycle (deploy substrate).,deploy/cloud-run/deploy_cloudrun.py; deploy/cloud-run/test_serverless_deploy_driver.py; system-models/test_deploy_promote_lifecycle.py,yes
system-models/deployment_topology.py,PRODUCT,TOPOLOGY,Typed Layer-3 loader for the managed-deployment topology.,tools/lint/lint-c4-container-drift.py; tools/lint/lint-deployment-topology-total-and-disjoint.py; tools/lint/lint-every-service-has-smoke-probe.py,yes
system-models/diagram_model.py,AGENT_META,SCHEMA,Target-agnostic intermediate diagram graph + the model→graph projections.,system-models/diagram_render.py,yes
system-models/diagram_render.py,AGENT_META,INSTRUMENT,The graph→text half of the generated model-viz pipeline — pluggable targets.,system-models/repo-query.py,yes
system-models/doc_lints_by_tier.py,AGENT_META,REGISTRY,Registry: SYNTAX-tier doc lints eligible to run at precommit intermediate commits.,.githooks/pre_commit_lib.py,yes
system-models/docker_codegen.py,AGENT_META,REGISTRY,Canonical Dockerfile-codegen substrate types + lookup tables.,tools/lint/lint-dotnet-publish-machine-type.py; tools/lint/lint-runtime-image-drops-shelled-tools.py; tools/build/_gen_cloudbuild_emit.py,yes
system-models/document_fact_catalogue.py,PRODUCT,REGISTRY,Document Fact Catalogue (DFC),system-models/chunkless_critical_path_model.py; system-models/ir_registry.py,yes
system-models/edit_application_ordering_model.py,PRODUCT,CONSTRAINT_SET,Layer-3 system-model: the EDIT-APPLICATION-ORDERING oracle — the executable complement of the prose model ``docs/design/patch-application-ordering-model-260830.md``.,tools/lint/lint-invariant-verification-tier.py; system-models/test_edit_application_ordering_model.py,yes
system-models/entitlement_model.py,PRODUCT,DECISION_TABLE,"Layer-3 SSOT for the ADATool **entitlement / admit** decision — ""can this user upload N pages of this format?"".",system-models/components.py,yes
system-models/environment_model.py,PRODUCT,TOPOLOGY,The typed ENVIRONMENT MODEL — per-deployment behavioral-fork inventory + staging-fidelity coverage.,system-models/repo-query.py,yes
system-models/error_path_coverage.py,AGENT_META,REGISTRY,Registry: fleet ErrorPath → failure-injection test that drives BOTH destinations.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/external_seams.py,AGENT_META,REGISTRY,External-seam classification helpers for Component path resolution.,tools/lint/lint-banned-apis.py; tools/lint/lint-env-access.py; tools/lint/lint-external-seams-consumer-fresh.py,yes
system-models/fanout_execution_model.py,PRODUCT,CONSTRAINT_SET,Contract/shape model for the bounded-concurrency ORDERED-RESULT fan-out executor (rule #57).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/feature_gates.py,PRODUCT,REGISTRY,Typed registry + lifecycle for the validated-feature-promotion discipline.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/fidelity_tier.py,PRODUCT,REGISTRY,The ``FidelityTier`` vocabulary — the models-bridge home of the harness tiers.,system-models/role_instantiations.py; web/testing/_fidelity.py,yes
system-models/finance_pricing_model.py,PRODUCT,BUDGET,Layer-3 SSOT for the ADATool unit-economics / cost-volume-profit (CVP) model.,web/_daily_cost_board.py; web/_per_file_cost.py; web/admin_dashboard.py,yes
system-models/frontend_build_model.py,AGENT_META,TOPOLOGY,Typed single-source-of-truth for the frontend build model.,tools/lint/lint-banned-apis.py; tools/lint/lint-frontend-entrypoint-bundled.py; tools/lint/lint-no-bare-hex-literals.py,yes
system-models/frontend_flow.py,PRODUCT,DATAFLOW,Frontend-flow model for ADATool's five frontend trees.,tools/lint/lint-meta-file-cross-refs-with-tiers-blocking.py; tools/lint/lint-service-flow-model.py; system-models/repo-query.py,yes
system-models/fuzz_targets.py,AGENT_META,REGISTRY,The model-derived fuzz-target census — fuzz coverage as a queryable model property.,tools/lint/lint-fuzz-target-coverage.py; tools/lint/test_lint_fuzz_target_coverage.py,yes
system-models/genai_first_policy.py,PRODUCT,POLICY,"GenAI-First-Policy MODEL — a typed NAMING of the fail-fast / cost-tier-cascade degradation-decision policy; a curated read-only PROJECTION, NOT a runtime authority.",(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/genai_invocation_contract.py,PRODUCT,DECISION_TABLE,GenAI-Invocation-Contract MODEL — a PROJECTION of the C# TaskContract SoT.,system-models/genai_first_policy.py; system-models/test_genai_first_policy.py,yes
system-models/governance_control_firing_ledger.py,AGENT_META,INSTRUMENT,"Tier-1 control-EXERCISE mining — a DERIVED, READ-ONLY projection (Phase 2).",system-models/repo-query.py,yes
system-models/governance_conversion_ledger.py,AGENT_META,INSTRUMENT,"The governance-conversion causal ledger — a DERIVED PROJECTION, not a 5th store.",system-models/repo-query.py,yes
system-models/governance_glue_classes.py,AGENT_META,REGISTRY,"The shared, CLOSED named-class glue registry for BOTH governance coverage metrics.",system-models/missing_control_metric.py,yes
system-models/governance_graph.py,AGENT_META,INTERACTION,Typed Layer-3 SSOT for the PROCESS-governance Governance Graph (L-orch canary).,system-models/control_family.py; system-models/repo-query.py; docs/epics/closed/missing-control-metric-260725/pilot-artifacts/trace_controls.py,yes
system-models/image_fidelity_model.py,PRODUCT,DATAFLOW,Image-fidelity / downsample MODEL,system-models/test_repo_query_invariant_coverage.py,yes
system-models/interservice_edges.py,PRODUCT,TOPOLOGY,The InterServiceCall contract model — the typed sync-edge SoT (Phase 2).,tools/lint/lint-render-purpose-parity.py,yes
system-models/invariant_surfaces.py,AGENT_META,REGISTRY,The invariant-surface opt-out meta-registry + the R-1 family-ratchet (P:F9).,tools/lint/lint-bespoke-family-collision.py; tools/lint/lint-bespoke-invariant-declared.py; system-models/repo-query.py,yes
system-models/ir_registry.py,PRODUCT,REGISTRY,IR registry — the alignment-control meta-file (CLAUDE.md rule #33).,tools/lint/lint-ir-has-consumer.py; tools/lint/test_lint_ir_has_consumer.py,yes
system-models/journey_criticality.py,PRODUCT,REGISTRY,The typed journey-criticality model — MAJOR/MINOR journeys/parts → derived test-tier.,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/kcoverage_activation.py,AGENT_META,INSTRUMENT,The k-coverage ACTIVATION-CONDITION AUDIT — W0 of ``telemetry-kcoverage-corpus-260916`` Phase 5 (``phase-5-coverage-lift-260916.md`` §T + §3 wave table).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/kcoverage_exercise_harness.py,AGENT_META,INSTRUMENT,The k-coverage EXERCISE-MEASUREMENT harness,system-models/kcoverage_setcover.py,yes
system-models/kcoverage_setcover.py,AGENT_META,INSTRUMENT,The k-coverage SET-COVER SELECTOR — Phase 3 of telemetry-kcoverage-corpus-260916 (design ``phase-1-260916.md`` §D.2 + ``phase-1b-review-260916.md`` §G-1/§G-2 rulings).,(no direct importer found; loaded generically by the repo-query model walker),yes
system-models/lightweight_precommit_candidates.py,AGENT_META,REGISTRY,Canonical registry of LIGHTWEIGHT-tier lint candidates.,.githooks/pre_commit_lib.py,yes
system-models/lock_classes.py,AGENT_META,REGISTRY,Canonical lock-class registry for the dev-machine OS-lock substrate.,tools/lint/lint-lock-ordering-reentry.py; tools/lint/test_lint_lock_ordering_reentry.py,yes
system-models/media_separation_dataflow.py,PRODUCT,DATAFLOW,MediaSeparationDataflow — a read-only INERT PROJECTION that NAMES the data flow at the media-separation point and ASSERTS a constant memory ceiling on it.,system-models/test_repo_query_invariant_coverage.py,yes
system-models/mediators.py,AGENT_META,REGISTRY,Canonical mediator registry for dev-time subprocess serialization.,tools/lint/lint-mediator-lookup-should-use-substrate.py; tools/lint/test_lint_component_import_boundaries.py; tools/lint/test_lint_mediator_lookup_should_use_substrate.py,yes
system-models/merge_train_lifecycle.py,AGENT_META,STATE_MACHINE (+CONSTRAINT_SET),Typed Layer-3 model of the merge-train ``run`` (default-landing) lifecycle.,tools/agents/_merge_train/_run_state.py; tools/agents/_merge_train/test_run_state_parity.py; system-models/test_merge_train_lifecycle.py,yes
