metric,definition,unit,source,derivation,coverage_start,coverage_end,missingness,confidence,caveats
iso_week,"ISO calendar week label (Monday start)",label,git,"strftime %G-W%V of commit author date",2026-W11,2026-W39,none,exact,"W39 is a partial week (HEAD 2026-09-24 is a Thursday)."
week_start,"Monday date of the ISO week",date,derived,"date.fromisocalendar(year,week,1)",2026-03-09,2026-09-21,none,exact,
commits_all,"All non-merge commits on main authored that week",count/week,git log --no-merges main,"count of commits grouped by author-date ISO week",2026-W11,2026-W39,"weeks W12-W13 = 0 (dormant, retained as 0 not missing)",exact,"main branch only; excludes merge commits (few)."
commits_agent,"Commits classified agent-authored (Co-Authored-By Claude OR Commit-of trailer, not an automation prefix)",count/week,git trailers,"classify_provenance() heuristic",2026-W11,2026-W39,none,reconstructed,"Undercounts late-period agent work: after ~W32 agent commits are collapsed into merge-train squash commits classified 'automation'. See A provenance note."
commits_automation,"Commits with an automation subject prefix (merge-train squash / sentinel / tombstone / chore(worktree) / quiesce)",count/week,git subjects,"prefix match",2026-W11,2026-W39,none,exact,"merge-train squashes INTEGRATE agent work; rises sharply from W32 when merge-train became the dominant landing mechanism."
commits_human_or_unknown,"Commits with no agent trailer and no automation prefix",count/week,git,"residual after agent+automation",2026-W11,2026-W39,none,reconstructed,"EXPLICIT unknown bucket. NOT claimed to be human: early-history agent commits predating the trailer convention fall here. Do not read as human-authored."
files_changed,"Sum of files-changed across the week's commits",count/week,git log --shortstat,"sum of per-commit 'N files changed'",2026-W11,2026-W39,"W12-W13 empty (no commits with diffs)",exact,"A file changed in K commits counts K times (NOT unique files). Includes vendored/generated files (node_modules, lockfiles)."
insertions,"Sum of inserted lines across the week's commits",lines/week,git log --shortstat,"sum of '+ insertions'",2026-W11,2026-W39,"W12-W13 empty",exact,"Raw diff churn incl. vendored/generated/snapshot files; NOT source-only LoC. Large single weeks (e.g. W14) reflect bulk imports."
deletions,"Sum of deleted lines across the week's commits",lines/week,git log --shortstat,"sum of '- deletions'",2026-W11,2026-W39,"W12-W13 empty",exact,"See insertions caveat."
churn,"insertions + deletions",lines/week,derived,"insertions + deletions",2026-W11,2026-W39,"W12-W13 empty",exact,"Raw churn; matches the book's engineering-line-churn family (not source-tree LoC)."
net_loc_change,"insertions - deletions",lines/week,derived,,2026-W11,2026-W39,"W12-W13 empty",exact,"Net can be negative during consolidation weeks (e.g. the 300k->200k retyping)."
commits_with_diff,"Commits that touched >=1 file",count/week,git log --shortstat,"count of commits with a shortstat line",2026-W11,2026-W39,none,exact,"Empty sentinel/tombstone commits excluded."
agent_landings_merge_train,"Distinct agent worktrees landed via merge-train squash",count/week,git subjects,"count 'merge-train squash: agent-<id>' commits",2026-W11,2026-W39,none,exact,"= 0 before W32 because merge-train squash was not the landing mechanism yet (agent work landed via direct cherry-pick). LOWER bound on total agent work-units across the whole period."
distinct_agents_landed,"Distinct agent-ids in that week's merge-train squashes",count/week,git subjects,"len(set(agent_id))",2026-W11,2026-W39,none,exact,"Equals agent_landings_merge_train (one squash per agent). Same coverage caveat."
agent_launches_registry,"Agent 'register' events in the shared registry",count/week,.claude/agent-registry.jsonl,"count event_type==register by event_ts ISO week",2026-W22,2026-W39,"empty before 2026-05-30 (registry did not exist)",reconstructed,"PARTIAL: registry began 2026-05-30 and only 358 register events total; undercounts launches (not every dispatch emits register). Retained missing pre-W22."
epics_created,"Distinct Epic slugs first added under docs/epics/ that week",count/week,git log --diff-filter=A docs/epics/,"first-add date of each epic main.md / <slug>.md",2026-W11,2026-W39,none,reconstructed,"1368 distinct slugs ever created (some later renamed/merged/deleted; current on-disk = 814 active + 476 closed). Proxy for engineering-intent units."
epics_closed,"Distinct Epic slugs first appearing under docs/epics/closed/ that week",count/week,git log --diff-filter=A docs/epics/closed/,"first-add date under closed/",2026-W11,2026-W39,none,reconstructed,"479 closed slugs. epic_close.py moves the file into closed/. A move may register as add-in-closed."
cum_epics_created,"Cumulative epics_created",count,derived,running sum,2026-W11,2026-W39,none,reconstructed,
cum_epics_closed,"Cumulative epics_closed",count,derived,running sum,2026-W11,2026-W39,none,reconstructed,
active_epics_estimate,"cum_epics_created - cum_epics_closed",count,derived,,2026-W11,2026-W39,none,estimated,"Rough: ignores epics deleted without a formal close. Upper-biased vs the ~814 current on-disk active."
deploy_release_commits,"Commits whose subject matches deploy/release/version-bump patterns",count/week,git subjects,"regex on subject",2026-W11,2026-W39,none,estimated,"LOWER bound: deploys run agentically and may not always produce a distinctly-named tracked commit. Keyword proxy only."
