event_date,iso_week,category,label,description,confidence,git_anchor_or_source,notes
2026-03-12,2026-W11,repository_milestone,repository_inception,First commit in the parent repository,exact,git log first commit,"Weekly series begin here; ISO week W11 (Monday 2026-03-09)."
2026-03-12,2026-W11,build_stage,stage1_feasibility_to_powerpoint,"Stage 1-2: feasibility probe became code; began with PowerPoint (the first format)",reconstructed,book 5.2 build-stages-timeline + git inception,"Stages are retrospective labels (book: 'drawn afterward, not a plan followed'). Boundaries approximate + revisable."
2026-04-04,2026-W14,build_stage,stage3_saas_deploy_begins,"Stage 4 (SaaS): first deployed service — auth, quota, cost, security",reconstructed,"git: 'gcloud deploy' 2026-04-04","Deploy machinery lands; near-simultaneous with format expansion."
2026-04-07,2026-W15,build_stage,stage3_format_expansion,"Stage 3 (Format expansion): Word/Excel/PDF harnesses land; architecture differentiates",reconstructed,"git: PDF/Word/Excel test harnesses 2026-04-07","One-size-fits-all assumptions broke as other formats arrived."
2026-04-20,2026-W17,external_event,doj_deadline_extension,"DOJ extended WCAG 2.1 AA compliance deadline by one year (~4 days before Apr 24 2026 deadline)",exact,book 5.2 (doj2026extension),"Immediate deadline pressure receded; project shifted toward hardening."
2026-04,2026-W15,build_stage,stage5_standards_validation,"Stage 5 (Standards): replaced checker score with standards-grounded validation (R4)",reconstructed,book 5.2 narrative,"Users found checker-passing outputs that lost semantic equivalence. Boundary approximate."
2026-04,2026-W16,governance_conversion,lifecycle_state_model,"April: production failure -> explicit JobStateMachine lifecycle model (governance conversion)",reconstructed,book 5.2 'In April...' + git,"First named governance conversion in the book narrative."
2026-05,2026-W20,governance_conversion,modeling_substrate_consolidation,"May: duplicated system descriptions consolidated into shared modeling substrate",reconstructed,book 5.2 'In May...',"system-models/ substrate era begins."
2026-05-30,2026-W22,substrate_milestone,agent_registry_begins,"Agent-registry.jsonl event log begins (agent lifecycle telemetry)",exact,.claude/agent-registry.jsonl first event_ts,"Registry-derived metrics (launches, tombstones) have coverage_start here, NOT inception."
2026-06,2026-W23,build_stage,stage6_hardening_core,"Stage 6 (Hardening): models, tests, gates, provenance — the mechanization+hardening core",reconstructed,book 5.2 + metrics.json intensive_build_period,"'By July, properties in models determined what verification the repo required.'"
2026-07-19,2026-W29,build_stage,stage7_serverless_migration,"Stage 7 (Serverless): K8s->serverless re-platforming (idle cost exposed wrong deployment shape)",reconstructed,"git: serverless-migration analysis 2026-07-19","Cold-start floor 4057ms -> 109ms after migration (book cost section)."
2026-07-22,2026-W30,architecture_change,k8s_poll_plane_retired,"K8s ZPOPMIN poll plane retired; Cloud Tasks push + Pub/Sub completer",exact,docs/ops/k8s-poll-architecture-retirement-260722.md,"Dispatch became serverless push plane."
2026-07-23,2026-W30,book_snapshot,loc_baseline_0723,"Book LoC baseline snapshot (superseded by 08-03): iac 8446 / system-model 7380 before category re-partition",exact,book/data/metrics.json _loc_provenance,"Retained as a marked check; do not confuse with 08-03 snapshot."
2026-07-29,2026-W31,book_snapshot,commit_census_cutoff_20wk,"Book commit-census window end (20 weeks; commits_total 23215)",exact,book/data/metrics.json _commit_provenance,"The book's 20-week study window ends here; this archaeology extends through HEAD."
2026-08-03,2026-W32,book_snapshot,loc_commit_census_0803,"Book LoC + commit census snapshot: prod 491090 / support 1501907 / ratio 3.0 / total 2824878",exact,book/data/metrics.json,"Canonical book LoC snapshot (HEAD ce0bde110fbb). support_ratio 3.0."
2026-08,2026-W32,substrate_milestone,merge_train_landing_dominant,"Merge-train squash becomes the dominant landing mechanism (was direct cherry-pick)",reconstructed,"git: merge-train squash commits jump from ~0 to 300+/wk at W32","Provenance class shifts agent->automation here; NOT a drop in agent activity."
2026-09-22,2026-W39,book_snapshot,cost_table_cutoff,"Book factory-cost table cutoff: Human $100k / Claude ~5.0B tok $4800 / OpenAI 628M tok $946 / GCP $4886 / total $110633",exact,book 5.2 factory-cost-table,"Cost figures priced through this date."
2026-09-24,2026-W39,repository_milestone,archaeology_head,"This archaeology run's HEAD (last commit date mined)",exact,git log latest commit,"Last full data week is W38 (2026-09-14..09-20); W39 is partial."
