id,short_description,participant_lanes,coord_primitive,temporal_operator,temporal_predicate,derived_tier,hairy,checker_kinds,checker_paths,satisfy_refs,full_description
INV-1,Queue claim atomicity,job-introducer; worker,ATOMIC_CLAIM,[]P,NoLoss /\ AtMostOneClaimer,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_inv1_atomic_claim.py::test_inv1_single_popper_no_loss_no_dup; web/test_dispatch_atomic_zpopmin_property.py,web/worker.py::_claim_and_process_chunk,Queue claim atomicity — claim+move-to-remediating is one atomic op.
INV-2,Size-stratified fairness + tier ordering,job-introducer,NONE,[]P,RoutingDeterministic,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv2_fairness_ordering.py::test_inv2_classify_size_boundary_determinism,web/dispatch/queue.py::classify_size,Size-stratified fairness + tier ordering (routing is deterministic).
INV-3,Preemption-requeue priority preservation,job-introducer,NONE,[]P,RequeuePreservesSizeClass,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv3_preempt_requeue.py::test_inv3_preemption_preserves_page_count_and_size_class,web/job_completer.py::_reclaim_orphaned_leases,Preemption-requeue priority preservation (the ONLY sanctioned requeue).
INV-4,Cancellation removes from ALL 9 Redis structures + chunk purge.,server; job-introducer; worker,ATOMIC_CLAIM,[]P,CancelClearsAllStructures,SAFETY_BFS,True,SIMWORLD; PROPERTY,web/test_simworld/test_inv4_cancel_all8.py::test_inv4_remove_from_all_8_clears_every_structure; web/test_dispatch_remove_from_all_queues_property.py,web/dispatch/queue.py::remove_from_all_queues,Cancellation removes from ALL 9 Redis structures + chunk purge.
INV-6,Metric/queue-depth consistency under queue-shape change,server,NONE,[]P,MetricSumsAllStructures,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv6_metric_queue_consistency.py::test_inv6_empty_all_structures_yields_zero,web/admin_dashboard.py::_live_queue_breakdown,Metric/queue-depth consistency under queue-shape change (structural).
INV-7,Wake/sleep ↔ in-flight (split-brain + version gating),job-introducer,NONE,[]P,StalePodDoesNotPop,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv7_version_gate_wakesleep.py::test_inv7_stale_pod_does_not_pop,web/job_introducer.py::introducer_tick,Wake/sleep ↔ in-flight (split-brain + version gating) — one guard.
INV-8,Stale-sweep ↔ heartbeat,job-completer; worker,STALE_READ_HEARTBEAT,[]P,SweepSparesLiveJob,SAFETY_BFS,True,SIMWORLD,web/test_simworld/test_inv8_stale_sweep.py::test_inv8_sweep_spares_live_job_deterministic,web/job_completer.py::_reclaim_orphaned_leases,Stale-sweep ↔ heartbeat — don't kill a still-progressing job.
INV-9,Progress monotonicity under concurrent writers,job-introducer,NONE,[]P,ProgressNeverRegresses,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv9_progress_monotonic.py::test_inv9_lua_monotonic_guard_present,shared/lua/progress_monotonic.lua,Progress monotonicity under concurrent writers (Lua-atomic guard).
INV-10,Chunk fan-out/fan-in aggregate,job-introducer; worker; job-completer,SQL_CAS,[]P,ExactlyOneCompleter,SAFETY_BFS,True,SIMWORLD,web/test_simworld/test_inv10_chunk_fanin.py::test_inv10_single_completer_all_conjuncts,web/persistence/jobs.py::claim_coordinator,Chunk fan-out/fan-in aggregate — dual-completer merge-claim CAS.
INV-11,Cross-SOA partial-failure mid-sequence,worker,NONE,[]P,PartialFailureRaisesLoud,LINEAR_PROPERTY,False,PROPERTY,web/test_simworld/test_inv11_xsoa_partial_failure.py::test_inv11_should_have_worked_raises_loud,web/worker.py::_build_partial_failure_record,Cross-SOA partial-failure mid-sequence — typed FailureCause branch.
