id,approx_date,iso_week,triggering_incident,repair,control_type,affected_subsystem,failure_class,determinism,enforcement,recurrence_classification,evidence_provenance,notes
GC01,2026-04,2026-W16,"Slow generation call under a slow dependency; implicit lifecycle, status written from scattered places, requeue-as-reflex became a retry storm (each attempt billed full cost, none marked a retry)","Explicit lifecycle model: named states + legal transitions; atomic claiming separating permission-to-act from recovery leases; no automatic requeue on ordinary failure","explicit state model + atomic claim + no-requeue policy",job-pipeline/worker,retry-storm / requeue amplification,deterministic,blocking,"later-hardening (stale-owner sweep exposed 'slow is not dead' -> progress evidence added; NOT a recurrence of the original class)","book 5.2 'implicit lifecycle became explicit behavioral model'; JobStateMachine in web/pipeline.py; lint-no-failure-requeue.py","The dominant early production failure. Recovery became a decision over explicit state+evidence."
GC02,2026-04,2026-W15,"A convenient scripting-library call (pymupdf) sliced a document, silently destroying the /StructTreeRoot tag tree carrying accessibility; nothing caught it","Policy naming the canonical library (iText); typed format model + API concentrating all mutation through one seam (PdfModel); build-time ban on raw library access","typed mutation seam + ban-lint",PDF,silent structure destruction,deterministic,blocking,"attempted-recurrence-caught (the ban-lint fires on raw-access attempts) PLUS a SECOND-ORDER incident: the gate itself later reported real findings as green (stale repo root) and had to be hardened","book 5.2 'destructive library behavior became a typed seam and a ban'; itext-direct-access / helpers-no-itext lints; the v172 corruption","The enforcement machinery itself needed maintenance — a second-order conversion."
GC03,2026-05,2026-W20,"A local file path was sent across a service boundary, where it became meaningless in the callee's process","Typed cross-service client accepting file CONTENT not a path (path-over-wire unrepresentable at the type level); explicit service-graph model of which service may call which","typed client (type-level impossibility) + service-flow model",cross-service/IPC,file-path-over-wire,deterministic,blocking,"escaped-recurrence-caught-by-human: a later human review found a direct-client bypass path skipping rate-limit/key-rotation/failover/cost-tracking — the boundary only governed paths that crossed it","book 5.2 'a cross-service assumption became a typed client'; shared/service_client.py ServiceClient (BinaryIO); web/ipc sole-seam lint","A protection boundary only governs the paths that cross it."
GC04,2026-06,2026-W23,"By ~300k lines, MVP-fast regions lacked coherent abstractions; 'use typed Python' was satisfied stringly-typed (the type 'string' for everything)","Every commodity lint driven to zero and made blocking once conformant; region-by-region routing of dense primitive code through induced typed domain abstractions","commodity-lint floor + typed domain abstractions",whole-codebase,underspecified-instruction / stringly-typed,deterministic,blocking,"no-observed-recurrence (the lint floor now blocks re-introduction; absence of a later stringly-typed regression is NOT proof it prevented one)","book 5.2 'an underspecified instruction became a lint floor'; ~300k -> ~200k lines; ruff/eslint/tsc/pyright floor","A month later the 300k lines were ~200k; future work inherited named abstractions + regression checks."
GC05,2026-07,2026-W29,"The service cost tens of dollars/day idle on a K8s cluster; weeks of in-frame autoscaler tuning kept colliding with the same cold-pod ceiling","A decision rule: when repeated in-frame optimization collides with the same architectural ceiling, price the architectural change rather than commissioning another local optimization; the serverless migration encoded the decision","decision rule (architectural) -> re-platforming",infra/deploy,in-frame-optimization vs architectural ceiling,heuristic/judgment,advisory,"no-observed-recurrence (the rule + migration removed the ceiling; not a mechanical control)","book 5.2 'a recurring architectural ceiling became a decision rule'; serverless migration; k8s-poll-architecture-retirement-260722","A lesson held in someone's head remains expensive to reuse — encoding it in the system made it capital."
GC06,2026-06,2026-W23,"Merge automation stalled when two agents edited the same file; a one-flag 'take one side, drop the other' fix silently deleted landed work from main for four days (same commit heading landing repeatedly, each time smaller)","The resolver was changed to reconcile the conflicting files; the destructive drop-a-side default was prohibited","decision-made-once + banned destructive default",merge-train/agent-ops,unmade-decision at an autonomous boundary,deterministic,blocking,"attempted-recurrence-caught (destructive default now barred). The 4-day episode WAS the recurring instance (same head re-landing)","book 5.2 'an unmade decision became a decision made once'; merge_train resolver","Do not leave consequential semantics unresolved where an autonomous actor must act."
GC07,2026-06,2026-W25,"Two near-simultaneous false-greens: a lint gate hit a stray error, caught it in a catch-all returning success (a run of commits landed unlinted); a chain of pin tests passed because a botched merge landed them onto a tree missing the field they checked","Regenerate evidence at the admission boundary: required tests + lints re-run against the actual candidate tree; gate failures made fail-loud (no catch-all success); counts re-derived rather than accepted from the task report","independent-evidence regeneration at admission",CI-gate/merge-train,false-green / done-is-a-claim,deterministic,blocking,"attempted-recurrence-caught (merge-train re-runs the full gate on the candidate tree; fail-loud replaces swallow)","book 5.2 'Done became a claim requiring independent evidence'; rule #8 never-silent-catch; merge_train CI gate","A report of 'done' describes the producer's claim, not the repository state."
GC08,2026-07,2026-W28,"A content-free image detector (skip vision if pixels barely vary) would mark a Rothko / Malevich black square decorative; its own comment promised a false positive was 'not possible'","Ambiguous cases route to a richer semantic (VLM) judgment; regression evidence covers the failure CLASS (low-variance images that carry content), not just the first example","routed judgment (cheap-proxy loses last word) + class regression",product/alt-text,inadequate-input-representation,probabilistic,advisory,"no-observed-recurrence (the class regression pins the failure class; conservative: absence is not proof of prevention)","book 5.2 'an inadequate input representation became a routed judgment'; a11y semantic post-filter (classify-first §13)","'Content-free' is a judgment about an image in context, not a fact about pixels."
GC09,2026-07,2026-W30,"A corrupted document took four cross-file hops to trace; verification found ELEVEN production sites writing through a low-level path that skipped the provenance stamp, shipping empty changelog rows for a class of jobs","The provenance join: every mutation stamps verb+pass+visibility; the customer changelog is derived from stamps; a wiring validator identifies mutating paths that fail to stamp — landed report-first, then a fix wave drained, then enforced","derived provenance + F10 wiring lint (report->drain->enforce)",PDF/provenance,stamp-bypass / blank-changelog,deterministic,blocking,"attempted-recurrence-caught (F10 wiring lint now blocks unstamped mutators). Landing discipline: AUDIT-ONLY-first then BLOCKING (rule #55)","book 5.2 'forensic reconstruction became derived provenance'; lint-mutator-stamp-wiring.py; MutatorStampHelper","Representation made the obligation observable; migration made it feasible; gating enforced it."
GC10,2026-07,2026-W29,"A document's repair stalled silently; the subprocess was killed by the job timeout after ~8 minutes, the customer's progress bar frozen at 38%, the budget already spent","A provisional per-chunk worst-case model against the job budget (seed kept as a timestamped datapoint, not a code constant) + instrumentation that can report a would-be breach","measurement model + observability (DELIBERATELY not a gate)",chunking/timeout,silent-stall / spent-budget,measurement-only,advisory,"no-observed-recurrence-and-deliberately-not-enforced (no production gate rejects on this model; bound not calibrated strongly enough to justify blocking)","book 5.2 'a silent stall became measurement — and deliberately stopped there'; per-chunk worst-case seed file","Alignment need not culminate in a blocking gate. Counterpart: cold-start (GC11) earned action."
